Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,97.570000,97.570000,97.570000,97.570000,97.570000,0
2016-07-15,97.269997,97.269997,97.269997,97.269997,97.269997,0
2016-07-18,98.519997,98.519997,98.519997,98.519997,98.519997,0
2016-07-19,97.820000,97.820000,97.820000,97.820000,97.820000,0
2016-07-20,100.099998,100.099998,100.099998,100.099998,100.099998,0
2016-07-21,99.650002,99.650002,99.650002,99.650002,99.650002,0
2016-07-22,100.459999,100.459999,100.459999,100.459999,100.459999,0
2016-07-25,100.449997,100.449997,100.449997,100.449997,100.449997,0
2016-07-26,100.699997,100.699997,100.699997,100.699997,100.699997,0
2016-07-27,102.040001,102.040001,102.040001,102.040001,102.040001,0
2016-07-28,102.830002,102.830002,102.830002,102.830002,102.830002,0
2016-07-29,103.220001,103.220001,103.220001,103.220001,103.220001,0
2016-08-01,104.320000,104.320000,104.320000,104.320000,104.320000,0
2016-08-02,102.720001,102.720001,102.720001,102.720001,102.720001,0
2016-08-03,103.410004,103.410004,103.410004,103.410004,103.410004,0
2016-08-04,103.949997,103.949997,103.949997,103.949997,103.949997,0
2016-08-05,106.000000,106.000000,106.000000,106.000000,106.000000,0
2016-08-08,105.709999,105.709999,105.709999,105.709999,105.709999,0
2016-08-09,106.199997,106.199997,106.199997,106.199997,106.199997,0
2016-08-10,105.650002,105.650002,105.650002,105.650002,105.650002,0
2016-08-11,106.529999,106.529999,106.529999,106.529999,106.529999,0
2016-08-12,106.690002,106.690002,106.690002,106.690002,106.690002,0
2016-08-15,107.580002,107.580002,107.580002,107.580002,107.580002,0
2016-08-16,106.370003,106.370003,106.370003,106.370003,106.370003,0
2016-08-17,106.739998,106.739998,106.739998,106.739998,106.739998,0
2016-08-18,106.860001,106.860001,106.860001,106.860001,106.860001,0
2016-08-19,106.750000,106.750000,106.750000,106.750000,106.750000,0
2016-08-22,106.860001,106.860001,106.860001,106.860001,106.860001,0
2016-08-23,107.269997,107.269997,107.269997,107.269997,107.269997,0
2016-08-24,105.779999,105.779999,105.779999,105.779999,105.779999,0
2016-08-25,105.419998,105.419998,105.419998,105.419998,105.419998,0
2016-08-26,105.760002,105.760002,105.760002,105.760002,105.760002,0
2016-08-29,106.080002,106.080002,106.080002,106.080002,106.080002,0
2016-08-30,105.400002,105.400002,105.400002,105.400002,105.400002,0
2016-08-31,105.180000,105.180000,105.180000,105.180000,105.180000,0
2016-09-01,105.730003,105.730003,105.730003,105.730003,105.730003,0
2016-09-02,106.379997,106.379997,106.379997,106.379997,106.379997,0
2016-09-06,107.709999,107.709999,107.709999,107.709999,107.709999,0
2016-09-07,107.820000,107.820000,107.820000,107.820000,107.820000,0
2016-09-08,106.559998,106.559998,106.559998,106.559998,106.559998,0
2016-09-09,101.139999,101.139999,101.139999,101.139999,101.139999,0
2016-09-12,104.730003,104.730003,104.730003,104.730003,104.730003,0
2016-09-13,102.870003,102.870003,102.870003,102.870003,102.870003,0
2016-09-14,103.879997,103.879997,103.879997,103.879997,103.879997,0
2016-09-15,107.110001,107.110001,107.110001,107.110001,107.110001,0
2016-09-16,107.010002,107.010002,107.010002,107.010002,107.010002,0
