Date,Open,High,Low,Close,Adj Close,Volume
2016-07-15,52.639999,52.939999,51.840000,52.403030,52.700001,10715400
2016-07-18,53.349998,53.430000,52.770000,52.671513,52.970001,6324800
2016-07-19,52.939999,53.730000,52.840000,53.218410,53.520000,9566300
2016-07-20,53.700001,54.509998,53.480000,53.914467,54.220001,7411500
2016-07-21,54.099998,54.270000,53.040001,52.920101,53.220001,9032700
2016-07-22,53.410000,54.669998,53.020000,54.361927,54.669998,7894200
2016-07-25,55.000000,55.810001,54.759998,55.366238,55.680000,7813200
2016-07-26,56.169998,56.919998,56.090000,56.310886,56.630001,12862700
2016-07-27,57.119999,57.220001,55.720001,55.744099,56.060001,11166900
2016-07-28,56.189999,56.599998,56.009998,55.863422,56.180000,5547900
2016-07-29,56.389999,57.250000,55.380001,56.778233,57.099998,10239700
2016-08-01,57.340000,57.549999,56.360001,56.410324,56.730000,7528000
2016-08-02,57.000000,57.029999,55.500000,55.724209,56.040001,7068700
2016-08-03,55.970001,56.299999,55.660000,55.873360,56.189999,7495700
2016-08-04,56.459999,57.490002,56.349998,56.907501,57.230000,6817800
2016-08-05,57.889999,58.230000,57.610001,57.872040,58.200001,9289700
2016-08-08,59.000000,59.139999,58.119999,58.408997,58.740002,7626600
2016-08-09,59.029999,59.459999,58.740002,58.558147,58.889999,9308600
2016-08-10,59.410000,59.500000,58.320000,58.180286,58.509998,9393500
2016-08-11,58.820000,59.950001,58.700001,59.363583,59.700001,17026600
2016-08-12,61.900002,63.380001,60.630001,62.684769,63.040001,35643600
2016-08-15,63.110001,63.500000,62.130001,62.625099,62.980000,14332600
2016-08-16,62.889999,62.990002,62.410000,62.247242,62.599998,7191300
2016-08-17,62.599998,62.740002,60.660000,60.805412,61.150002,14880300
2016-08-18,61.060001,62.200001,60.820000,61.750057,62.099998,8292100
2016-08-19,62.070000,62.730000,61.799999,61.909157,62.259998,7289000
2016-08-22,62.450001,62.610001,61.709999,62.167694,62.520000,6118700
2016-08-23,63.040001,63.320000,62.730000,62.670769,62.910000,8494100
2016-08-24,63.130001,63.160000,61.650002,61.704456,61.939999,7461200
2016-08-25,61.959999,61.990002,60.759998,61.296021,61.529999,10150800
2016-08-26,61.689999,62.380001,61.200001,61.794117,62.029999,7500600
2016-08-29,62.279999,62.529999,61.889999,61.754272,61.990002,6866300
2016-08-30,61.910000,62.240002,61.459999,61.395641,61.630001,7138600
2016-08-31,61.750000,61.919998,61.160000,61.106739,61.340000,9713600
2016-09-01,61.389999,63.380001,61.340000,62.909859,63.150002,10712300
2016-09-02,63.279999,63.349998,61.820000,62.292217,62.529999,8078700
2016-09-06,62.750000,63.119999,62.430000,62.879974,63.119999,7670300
2016-09-07,62.919998,63.230000,61.830002,61.953506,62.189999,9949700
